player,team,eliminations,deaths,damage,healing
Gido,Washington Justice,11.83,4.49,5866,8807
GodsB,Hangzhou Spark,17.83,4.0,9683,198
Greyy,Paris Eternal,12.75,5.75,5223,8047
Guxue,Hangzhou Spark,15.93,4.92,7307,0
Haksal,Vancouver Titans,19.35,4.29,6198,7396
Happy,Guangzhou Charge,16.24,4.19,8359,1143
HarryHook,Dallas Fuel,9.36,5.06,3508,10731
Highly,Seoul Dynasty,14.03,3.81,5831,8493
Hooreg,Vancouver Titans,13.38,5.67,6044,158
HOTBA,Guangzhou Charge,17.04,3.67,6212,274
Hydration,Los Angeles Gladiators,16.14,5.24,5519,7443
HyP,Paris Eternal,13.78,5.62,7008,10568
iDK,Hangzhou Spark,12.34,3.59,4030,5718
ILLICIT,Seoul Dynasty,15.78,5.68,6305,3422
ivy,Toronto Defiant,17.18,5.95,9899,727
IZaYaKI,Shanghai Dragons,13.37,5.04,7692,10720
Jake,Houston Outlaws,15.35,6.39,6342,4644
Jecse,Seoul Dynasty,11.93,3.91,3081,6036
JinMu,Chengdu Hunters,15.79,6.18,8333,3331
JIQIREN,Chengdu Hunters,11.16,7.09,6164,0
JJANU,Vancouver Titans,20.06,3.39,6203,215
JJONAK,New York Excelsior,15.76,3.95,7116,8675
Karayan,Florida Mayhem,18.13,6.05,3955,0
KariV,Los Angeles Valiant,14.67,4.52,6574,5889
Kellex,Boston Uprising,9.53,4.51,3343,6393
Krillin,London Spitfire,14.99,4.18,6330,10410
Kris,Florida Mayhem,10.21,4.55,3050,6137
Kruise,Paris Eternal,10.74,4.75,3778,7134
Krystal,Hangzhou Spark,14.89,5.39,5655,9068
KSF,Los Angeles Valiant,16.37,5.18,8735,194
Kyb,Philadelphia Fusion,12.01,4.22,4912,7479
Kyo,Chengdu Hunters,12.44,4.85,5188,7953
lateyoung,Chengdu Hunters,17.71,5.48,8874,154
LhCloudy,Paris Eternal,14.89,6.4,5925,0
Libero,New York Excelsior,16.78,4.5,5050,5891
LiNkzr,Houston Outlaws,16.41,5.82,7407,1104
Logix,Toronto Defiant,16.02,6.09,7601,402
Luffy,Shanghai Dragons,13.82,5.08,5558,8025
Mangachu,Toronto Defiant,15.71,6.73,7046,1322
Mano,New York Excelsior,16.43,5.23,6858,5
Marve1,Seoul Dynasty,16.44,5.6,7097,0
Masaa,Atlanta Reign,13.22,4.62,4583,6510
Mcgravy,Los Angeles Valiant,13.76,4.08,6158,278
MekO,New York Excelsior,18.84,3.88,6099,220
Michelle,Seoul Dynasty,18.93,3.24,6474,235
Mickie,Dallas Fuel,12.01,7.26,3329,1734
moth,San Francisco Shock,13.1,3.72,3890,6671
Muma,Houston Outlaws,14.57,5.99,6642,0
Neko,Toronto Defiant,11.64,4.74,5218,8526
Nenne,New York Excelsior,19.37,3.76,9397,110
neptuNo,Philadelphia Fusion,11.78,4.55,3894,5689
nero,Guangzhou Charge,18.32,4.35,6946,935
NiCOgdh,Paris Eternal,15.22,4.98,5025,6437
NLaaeR,Atlanta Reign,14.09,5.44,5453,2173
NoSmite,Hangzhou Spark,13.32,6.15,6016,0
NotE,Dallas Fuel,16.9,4.6,6368,214
OGE,Dallas Fuel,15.41,5.96,7316,0
Onlywish,Guangzhou Charge,1.89,3.5,243,6959
Persia,Boston Uprising,9.38,5.05,4282,8720
Poko,Philadelphia Fusion,16.53,3.82,5996,214
Pokpo,Atlanta Reign,15.73,6.07,7423,1
Profit,London Spitfire,18.62,4.39,8591,938
QuaterMain,London Spitfire,7.13,4.35,1912,6196
RAPEL,Vancouver Titans,16.27,4.94,5336,10575
Rascal,San Francisco Shock,16.8,4.48,5858,8276
Rawkus,Houston Outlaws,11.51,4.8,5264,8522
rCk,Boston Uprising,15.16,4.56,6954,239
Revenge,Hangzhou Spark,12.32,4.22,5952,7383
Ria,Hangzhou Spark,17.29,4.17,6161,312
Rio,Guangzhou Charge,15.2,4.95,6766,0
Ripa,Los Angeles Gladiators,10.8,5.4,9261,12489
Rise,Guangzhou Charge,15.32,4.03,3448,6283
rOar,Los Angeles Gladiators,15.35,5.69,7043,0
RoKy,Toronto Defiant,12.16,4.08,4263,6333
ryujehong,Seoul Dynasty,14.16,4.26,6302,9351
Sado,Philadelphia Fusion,15.9,6.46,6593,0
Saebyeolbe,New York Excelsior,17.1,3.97,5885,818
SASIN,Hangzhou Spark,15.22,4.98,6304,450
sayaplayer,Florida Mayhem,13.4,5.49,6048,4204
SeoMinSoo,Vancouver Titans,21.1,3.59,10933,198
ShaDowBurn,Paris Eternal,14.86,6.48,6732,2085
Shax,Los Angeles Valiant,16.93,5.7,6499,332
Shaz,Los Angeles Gladiators,14.27,4.07,6467,10113
shu,Guangzhou Charge,14.06,3.83,6458,8793
sinatraa,San Francisco Shock,20.92,3.5,11849,111
sleepy,Washington Justice,10.82,3.83,6174,8991
SLIME,Vancouver Titans,14.53,3.71,4165,5882
Smurf,San Francisco Shock,17.73,4.93,6587,0
snillo,Philadelphia Fusion,13.12,7.29,4268,6369
SoOn,Paris Eternal,17.16,6.13,8755,181
SPACE,Los Angeles Valiant,16.94,3.76,6297,349
SPREE,Houston Outlaws,16.06,4.96,7074,442
Stellar,Boston Uprising,15.95,5.05,5342,5736
Stitch,Vancouver Titans,17.66,5.27,7419,628
Stratus,Washington Justice,15.86,5.33,6520,1105
STRIKER,San Francisco Shock,16.21,6.06,7380,140
super,San Francisco Shock,17.36,5.26,8277,5
Surefour,Los Angeles Gladiators,16.27,4.86,7702,2334
Taimou,Dallas Fuel,13.65,5.32,6980,353
tobi,Seoul Dynasty,12.53,3.57,3821,6536
Trill,Dallas Fuel,11.02,6.55,5723,0
Twilight,Vancouver Titans,16.05,4.14,7122,9320
uNKOE,Dallas Fuel,12.89,4.8,5795,9419
Viol2t,San Francisco Shock,17.19,4.2,7637,10409
Void,Los Angeles Gladiators,19.35,3.18,6457,250
Yakpung,Toronto Defiant,13.86,6.45,6032,0
YangXiaoLong,Chengdu Hunters,15.35,5.96,7572,299
YOUNGJIN,Shanghai Dragons,17.68,5.84,6183,5143
Yveltal,Chengdu Hunters,7.52,4.7,2209,7691
ZachaREEE,Dallas Fuel,15.17,5.67,5698,6211
ZUNBA,Seoul Dynasty,18.58,2.96,6789,0
