player,name,hometown,role
snillo,Simon Ekström,Sweden | Hallstahammar,Offense
ameng,Menghan Ding,China | Henan,Tank
ArHaN,WonHyeop Jung,South Korea | BUSAN,Offense
Anamo,Tae-Sung Jung,South Korea | Pohang,Support
KariV,YoungSeo Bak,South Korea | Seoul,Support
CoMa,Gyeong Woo Son,South Korea | Daegu,Support
Marve1,Min Seo Hwang,--,Tank
Sado,Sumin Kim,South Korea | Gwangju,Tank
bqb,Sangbum Lee,South Korea | Youngin,Offense
Bani,Christopher Benell,Canada | Ottawa,Support
Adora,Jaehwan Kang,South Korea | Changwon,Offense
byrem,SeongJoo Lee,South Korea | Gangwon-do,Support
Kris,Junsu Choe,South Korea | Jinju,Support
Jecse,SeungSoo Lee,South Korea | Seoul,Support
Krystal,Shilong Cai,China | Beijing,Offense
Mangachu,Liam Campbell,--,Offense
IZaYaKI,Min chul Kim,South Korea | Seoul,Support
Smurf,Myeong Hwan Yoo,South Korea | Jeonju,Tank
JJANU,HyunWoo Choi,South Korea | Seoul,Tank
QuaterMain,JiHoon Song,South Korea | Gunsan,Support
Choihyobin,Hyobin Choi,South Korea | Seoul,Tank
alemao,Renan Moretto,"Brazil | São Caetano do Sul, São Paulo",Support
tobi,Jinmo Yang,South Korea | Ulsan,Support
Shaz,Jonas Suovaara,Finland | Jyväskylä,Support
Fleta,ByungSun Kim,South Korea | Namyangju,Offense
Persia,Zion Yang,South Korea | Busan,Support
Taimou,Timo Kettunen,Finland | Juankoski,Offense
Kyo,Chunting Kong,China | Shandong,Support
eqo,Josue Corona,Israel | Netenya,Offense
SPACE,Indy Halpern,"United States | New York City, NY",Tank
NoSmite,Da un Jeong,South Korea | Ulsan,Tank
Luffy,Sunghyeon Yang,--,Support
AimGod,Minseok Kwon,South Korea | Busan,Support
SLIME,Seong jun Kim,South Korea | Incheon,Support
Onlywish,Lizhen Chen,China | Fuzhou,Support
LullSiSH,Lukas Wiklund,Sweden | Bureå,Tank
moth,Grant Espe,"United States | Worcester, MA",Support
Gator,Blake Scott,"United States | Nashville, Tennessee",Tank
Rise,Won Jae Lee,South Korea | Daegu,Support
BigG00se,Benjamin Isohanni,Finland | Kokkola,Support
Corey,Corey Nigra,"United States | Bensalem, Philadelphia",Offense
Gamsu,YoungJin Noh,South Korea | Geyoungju-si,Tank
GARGOYLE,Beom-jun Lee,South Korea | Busan,Tank
Panker,Byong Ho Lee,South Korea | Ansan,Tank
ivy,SeungHyun Lee,South Korea | Daegu,Offense
SoOn,Terence Tarlier,France | Amiens,Offense
YOUNGJIN,YoungJin Jin,South Korea | Geojedo Island,Offense
RoKy,JooSung Park,South Korea | Seoul,Support
TiZi,Jang Hyun Hwang,South Korea | Seoul,Tank
rOar,Chang-hoon Gye,South Korea | Incheon,Tank
Fury,Junho Kim,South Korea | Seoul,Tank
BenBest,Benjamin Dieulafait,France | Nice,Tank
Poko,Gael Gouzerch,France | Nîmes,Tank
Boink,Daniel Pence,"United States | Chicago, IL",Support
BUMPER,Sangbeom Park,South Korea | Seoul,Tank
Bdosin,Seungtae Choi,South Korea | Suwon,Support
NLaaeR,Ilya Koppalov,Russia | Moscow,Offense
Finnsi,Finnbjorn Jonasson,Iceland | Reykjavík,Tank
Eileen,Yiliang Ou,China | Guangdong,Offense
Logix,Andreas Berghmans,Belgium | Duffel,Offense
Bazzi,JunKi Park,South Korea | Busan,Offense
Viol2t,Minki Park,South Korea | Incheon,Support
HOTBA,Hong-Jun Choi,South Korea | Seoul,Tank
Muma,Austin Wilmot,"United States | Morrow, OH",Tank
Void,Jun Woo Kang,South Korea | Seoul,Tank
DDing,Jinhyeok Yang,South Korea | Seoul,Offense
coolmatt,Matt Iorio,"United States | Laporte, IN",Tank
Haksal,Hyojong Kim,South Korea | Seoul,Offense
Boombox,Isaac Charles,United Kingdom | Boston,Support
Axxiom,Minseob Park,South Korea | Seoul,Tank
Karayan,San-ha Choi,South Korea | Ansan,Tank
